recorded_at,source_timestamp,sequence,transport,fingers_json,status_json
1784119488.7568927,1784119488.7567284,235,ble,"{""index"":{""age_s"":0.009216070175170898,""channels"":3,""force"":[-0.38455630809981933,-0.740448999479999],""has_data"":true,""last_update_ts"":1784119488.7475123,""raw"":[16942,16142,17876]},""middle"":{""age_s"":0.009216070175170898,""channels"":3,""force"":[-0.01730503386449378,0.04662497447999936],""has_data"":true,""last_update_ts"":1784119488.7475123,""raw"":[15670,15634,15568]},""pinky"":{""age_s"":0.009216070175170898,""channels"":3,""force"":[1.742040075692186,0.5417377987199972],""has_data"":true,""last_update_ts"":1784119488.7475123,""raw"":[16444,20068,17280]},""ring"":{""age_s"":0.009216070175170898,""channels"":3,""force"":[0.3191817357228537,0.7504400654399976],""has_data"":true,""last_update_ts"":1784119488.7475123,""raw"":[15729,16393,14709]},""thumb"":{""age_s"":0.009216070175170898,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.7475123,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040813,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00924053399648983,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":234,""timestamp_us"":10453585216},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.7475123,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.7475123,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.7475123,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.7475123,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.7475123,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119488.8068933,1784119488.8067448,236,ble,"{""index"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-0.40426481888993493,-0.7612637202300023],""has_data"":true,""last_update_ts"":1784119488.7975101,""raw"":[16975,16134,17926]},""middle"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-0.019227815404990523,-0.03940920462000275],""has_data"":true,""last_update_ts"":1784119488.7975101,""raw"":[15757,15717,15808]},""pinky"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-1.02580395185627,-0.7443344140199999],""has_data"":true,""last_update_ts"":1784119488.7975101,""raw"":[17422,15288,17696]},""ring"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[0.28024540952774224,0.25393959314999837],""has_data"":true,""last_update_ts"":1784119488.7975101,""raw"":[15796,16379,15630]},""thumb"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.7975101,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040818,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00925576000008732,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":235,""timestamp_us"":10453632192},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.7975101,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.7975101,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.7975101,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.7975101,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.7975101,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119488.8569574,1784119488.8567,237,ble,"{""index"":{""age_s"":0.009174108505249023,""channels"":3,""force"":[-0.40138064657918804,-0.7657041939900013],""has_data"":true,""last_update_ts"":1784119488.8475258,""raw"":[16965,16130,17927]},""middle"":{""age_s"":0.009174108505249023,""channels"":3,""force"":[-0.017785729249617077,-0.037466497350001404],""has_data"":true,""last_update_ts"":1784119488.8475258,""raw"":[15759,15722,15808]},""pinky"":{""age_s"":0.009174108505249023,""channels"":3,""force"":[-1.0282074287818936,-0.7451670028500015],""has_data"":true,""last_update_ts"":1784119488.8475258,""raw"":[17419,15280,17692]},""ring"":{""age_s"":0.009174108505249023,""channels"":3,""force"":[0.2773612372169971,0.2522744154899961],""has_data"":true,""last_update_ts"":1784119488.8475258,""raw"":[15795,16372,15629]},""thumb"":{""age_s"":0.009174108505249023,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.8475258,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040821,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009216759004630148,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":236,""timestamp_us"":10453660512},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.8475258,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.8475258,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.8475258,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.8475258,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.8475258,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119488.9068353,1784119488.9066868,238,ble,"{""index"":{""age_s"":0.009172439575195312,""channels"":3,""force"":[-0.39272812964694204,-0.749607476610004],""has_data"":true,""last_update_ts"":1784119488.8975143,""raw"":[16956,16139,17898]},""middle"":{""age_s"":0.009172439575195312,""channels"":3,""force"":[-0.018266424634740375,-0.012766362060002479],""has_data"":true,""last_update_ts"":1784119488.8975143,""raw"":[15742,15704,15746]},""pinky"":{""age_s"":0.009172439575195312,""channels"":3,""force"":[-0.41195594505193434,-0.4437698463900013],""has_data"":true,""last_update_ts"":1784119488.8975143,""raw"":[17244,16387,17615]},""ring"":{""age_s"":0.009172439575195312,""channels"":3,""force"":[0.30572226493935695,0.3674492036399979],""has_data"":true,""last_update_ts"":1784119488.8975143,""raw"":[15775,16411,15431]},""thumb"":{""age_s"":0.009172439575195312,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.8975143,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040830,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00919791599153541,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":237,""timestamp_us"":10453745504},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.8975143,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.8975143,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.8975143,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.8975143,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.8975143,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119488.9567719,1784119488.956648,239,ble,"{""index"":{""age_s"":0.009133577346801758,""channels"":3,""force"":[-0.40234203734943463,-0.7612637202300032],""has_data"":true,""last_update_ts"":1784119488.9475145,""raw"":[16971,16134,17924]},""middle"":{""age_s"":0.009133577346801758,""channels"":3,""force"":[-0.021631292330615892,-0.04024179345000167],""has_data"":true,""last_update_ts"":1784119488.9475145,""raw"":[15764,15719,15814]},""pinky"":{""age_s"":0.009133577346801758,""channels"":3,""force"":[-1.0190742164645226,-0.7521052431000017],""has_data"":true,""last_update_ts"":1784119488.9475145,""raw"":[17411,15291,17706]},""ring"":{""age_s"":0.009133577346801758,""channels"":3,""force"":[0.27111219721037294,0.25088676743999994],""has_data"":true,""last_update_ts"":1784119488.9475145,""raw"":[15801,16365,15631]},""thumb"":{""age_s"":0.009133577346801758,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.9475145,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040834,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009154646002571099,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":238,""timestamp_us"":10453782976},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.9475145,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.9475145,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.9475145,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.9475145,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.9475145,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119489.0069208,1784119489.0067751,240,ble,"{""index"":{""age_s"":0.009244680404663086,""channels"":3,""force"":[-0.40041925580893967,-0.7612637202300014],""has_data"":true,""last_update_ts"":1784119488.9975305,""raw"":[16973,16140,17928]},""middle"":{""age_s"":0.009244680404663086,""channels"":3,""force"":[-0.019227815404990523,-0.03885414540000198],""has_data"":true,""last_update_ts"":1784119488.9975305,""raw"":[15758,15718,15808]},""pinky"":{""age_s"":0.009244680404663086,""channels"":3,""force"":[-1.0253232564711467,-0.7462771212900012],""has_data"":true,""last_update_ts"":1784119488.9975305,""raw"":[17428,15295,17706]},""ring"":{""age_s"":0.009244680404663086,""channels"":3,""force"":[0.27015080644012457,0.25199688587999614],""has_data"":true,""last_update_ts"":1784119488.9975305,""raw"":[15800,16362,15627]},""thumb"":{""age_s"":0.009244680404663086,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119488.9975305,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040839,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009269499001675285,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":239,""timestamp_us"":10453829984},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119488.9975305,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119488.9975305,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119488.9975305,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119488.9975305,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119488.9975305,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119489.0569036,1784119489.0567575,241,ble,"{""index"":{""age_s"":0.009232759475708008,""channels"":3,""force"":[-0.40378412350480986,-0.7587659537400011],""has_data"":true,""last_update_ts"":1784119489.0475247,""raw"":[16974,16134,17921]},""middle"":{""age_s"":0.009232759475708008,""channels"":3,""force"":[-0.018266424634743927,-0.03718896774000058],""has_data"":true,""last_update_ts"":1784119489.0475247,""raw"":[15759,15721,15807]},""pinky"":{""age_s"":0.009232759475708008,""channels"":3,""force"":[-1.0214776933901497,-0.7423917067500003],""has_data"":true,""last_update_ts"":1784119489.0475247,""raw"":[17425,15300,17700]},""ring"":{""age_s"":0.009232759475708008,""channels"":3,""force"":[0.2735156741359983,0.2539395931499966],""has_data"":true,""last_update_ts"":1784119489.0475247,""raw"":[15800,16369,15627]},""thumb"":{""age_s"":0.009232759475708008,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119489.0475247,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040845,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009258562000468373,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":240,""timestamp_us"":10453886496},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119489.0475247,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119489.0475247,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119489.0475247,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119489.0475247,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119489.0475247,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119489.1068332,1784119489.1066804,242,ble,"{""index"":{""age_s"":0.009154081344604492,""channels"":3,""force"":[-0.4066682958155621,-0.7709772565800019],""has_data"":true,""last_update_ts"":1784119489.0975263,""raw"":[16973,16127,17939]},""middle"":{""age_s"":0.009154081344604492,""channels"":3,""force"":[-0.02307337848598756,-0.042739559940002],""has_data"":true,""last_update_ts"":1784119489.0975263,""raw"":[15762,15714,15815]},""pinky"":{""age_s"":0.009154081344604492,""channels"":3,""force"":[-1.027246038011647,-0.7418366475300031],""has_data"":true,""last_update_ts"":1784119489.0975263,""raw"":[17420,15283,17688]},""ring"":{""age_s"":0.009154081344604492,""channels"":3,""force"":[0.28745584030461657,0.2614328926199967],""has_data"":true,""last_update_ts"":1784119489.0975263,""raw"":[15792,16390,15620]},""thumb"":{""age_s"":0.009154081344604492,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119489.0975263,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040846,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009179530999972485,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":241,""timestamp_us"":10453895904},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119489.0975263,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119489.0975263,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119489.0975263,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119489.0975263,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119489.0975263,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119489.156798,1784119489.1566749,243,ble,"{""index"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-0.39753508349818745,-0.7612637202300014],""has_data"":true,""last_update_ts"":1784119489.147515,""raw"":[16965,16138,17923]},""middle"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-0.019708510790117373,-0.03968673423000091],""has_data"":true,""last_update_ts"":1784119489.147515,""raw"":[15759,15718,15810]},""pinky"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[-1.0253232564711467,-0.7462771212900012],""has_data"":true,""last_update_ts"":1784119489.147515,""raw"":[17424,15291,17702]},""ring"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[0.2739963695211216,0.25310700431999944],""has_data"":true,""last_update_ts"":1784119489.147515,""raw"":[15802,16372,15631]},""thumb"":{""age_s"":0.00915980339050293,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119489.147515,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040857,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009184400987578556,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":242,""timestamp_us"":10453999744},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119489.147515,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119489.147515,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119489.147515,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119489.147515,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119489.147515,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784119489.2067869,1784119489.2066736,244,ble,"{""index"":{""age_s"":0.009144306182861328,""channels"":3,""force"":[-0.39897716965356445,-0.7609861906200024],""has_data"":true,""last_update_ts"":1784119489.1975293,""raw"":[16970,16140,17926]},""middle"":{""age_s"":0.009144306182861328,""channels"":3,""force"":[-0.019708510790115596,-0.03802155657000483],""has_data"":true,""last_update_ts"":1784119489.1975293,""raw"":[15757,15716,15805]},""pinky"":{""age_s"":0.009144306182861328,""channels"":3,""force"":[-1.0214776933901497,-0.7479422989500026],""has_data"":true,""last_update_ts"":1784119489.1975293,""raw"":[17420,15295,17705]},""ring"":{""age_s"":0.009144306182861328,""channels"":3,""force"":[0.27303497875087146,0.25310700431999944],""has_data"":true,""last_update_ts"":1784119489.1975293,""raw"":[15797,16365,15625]},""thumb"":{""age_s"":0.009144306182861328,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784119489.1975293,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":1040860,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009165679002762772,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":243,""timestamp_us"":10454027808},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784119489.1975293,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784119489.1975293,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784119489.1975293,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784119489.1975293,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784119489.1975293,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
